2023-03-18 10:16:12.306 [main] INFO  com.iiitb.calculator.CalcOperations - [ADDITION of 2.0 AND 3.0][RESULT : 5.0]
2023-03-18 10:16:36.372 [main] INFO  com.iiitb.calculator.CalcOperations - [SUBTRACTION of 5.0 AND 3.0][RESULT : 2.0]
2023-03-18 10:22:24.510 [main] INFO  com.iiitb.calculator.CalcOperations - [SUBTRACTION of 4.0 AND 4.0][RESULT : 0.0]
2023-03-18 10:22:24.511 [main] INFO  com.iiitb.calculator.CalcOperations - [SUBTRACTION of -4.0 AND -4.0][RESULT : 0.0]
2023-03-18 10:22:24.512 [main] INFO  com.iiitb.calculator.CalcOperations - [SUBTRACTION of 4.0 AND 8.0][RESULT : -4.0]
2023-03-18 10:22:24.512 [main] INFO  com.iiitb.calculator.CalcOperations - [DIVISION of 10.0 AND 5.0][RESULT : 2.0]
2023-03-18 10:22:24.513 [main] INFO  com.iiitb.calculator.CalcOperations - [DIVISION of 1.0 AND 0.0][RESULT : Infinity]
2023-03-18 10:22:24.513 [main] INFO  com.iiitb.calculator.CalcOperations - [DIVISION of -1.0 AND 0.0][RESULT : -Infinity]
2023-03-18 10:22:24.521 [main] INFO  com.iiitb.calculator.CalcOperations - [SQUARE ROOT of 5.0][RESULT : 2.23606797749979]
2023-03-18 10:22:24.521 [main] INFO  com.iiitb.calculator.CalcOperations - [SQUARE ROOT of -4.0][RESULT : NaN]
2023-03-18 10:22:24.521 [main] INFO  com.iiitb.calculator.CalcOperations - [NATURAL LOG of 0.0][RESULT : -Infinity]
2023-03-18 10:22:24.521 [main] INFO  com.iiitb.calculator.CalcOperations - [MULTIPLICATION of 10.0 AND 0.0][RESULT : 0.0]
2023-03-18 10:22:24.521 [main] INFO  com.iiitb.calculator.CalcOperations - [MULTIPLICATION of 5.0 AND 1.0][RESULT : 5.0]
2023-03-18 10:22:24.522 [main] INFO  com.iiitb.calculator.CalcOperations - [ADDITION of 8.0 AND 2.0][RESULT : 10.0]
2023-03-18 10:22:24.522 [main] INFO  com.iiitb.calculator.CalcOperations - [ADDITION of 5.0 AND 5.0][RESULT : 10.0]
2023-03-18 10:22:24.522 [main] INFO  com.iiitb.calculator.CalcOperations - [POWER of 4.0 AND 2.0][RESULT : 16.0]
2023-03-18 10:22:24.522 [main] INFO  com.iiitb.calculator.CalcOperations - [POWER of 1.0 AND 0.0][RESULT : 1.0]
2023-03-18 10:22:24.522 [main] INFO  com.iiitb.calculator.CalcOperations - [POWER of -2.0 AND -0.99][RESULT : NaN]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [POWER of -2.0 AND -3.0][RESULT : -0.125]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [MULTIPLICATION of 0.0 AND 1.0][RESULT : 0.0]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [MULTIPLICATION of 5.0 AND 2.0][RESULT : 10.0]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [ADDITION of 2.0 AND 5.0][RESULT : 7.0]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [ADDITION of 4.0 AND 4.0][RESULT : 8.0]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [NATURAL LOG of 2.7182818284590455][RESULT : 1.0]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [NATURAL LOG of 23.56][RESULT : 3.159550358783386]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [NATURAL LOG of 0.0][RESULT : -Infinity]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [NATURAL LOG of 0.0][RESULT : -Infinity]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [SUBTRACTION of 10.0 AND 2.0][RESULT : 8.0]
2023-03-18 10:22:24.523 [main] INFO  com.iiitb.calculator.CalcOperations - [SUBTRACTION of 16.0 AND -2.0][RESULT : 18.0]
2023-03-18 10:22:24.527 [main] INFO  com.iiitb.calculator.CalcOperations - [FACTORIAL of 0][RESULT : 120]
2023-03-18 10:22:24.528 [main] INFO  com.iiitb.calculator.CalcOperations - [FACTORIAL of 0][RESULT : 1]
2023-03-18 10:22:24.528 [main] INFO  com.iiitb.calculator.CalcOperations - [FACTORIAL of 0][RESULT : 1]
2023-03-18 10:22:24.528 [main] INFO  com.iiitb.calculator.CalcOperations - [POWER of -4.0 AND -0.5][RESULT : NaN]
2023-03-18 10:22:24.528 [main] INFO  com.iiitb.calculator.CalcOperations - [DIVISION of 6.0 AND 3.0][RESULT : 2.0]
2023-03-18 10:22:24.528 [main] INFO  com.iiitb.calculator.CalcOperations - [DIVISION of 6.0 AND 0.0][RESULT : Infinity]
2023-03-18 10:22:24.528 [main] INFO  com.iiitb.calculator.CalcOperations - [SQUARE ROOT of 16.0][RESULT : 4.0]
2023-03-18 10:22:24.528 [main] INFO  com.iiitb.calculator.CalcOperations - [SQUARE ROOT of 1564.564][RESULT : 39.554569900328836]
2023-03-18 10:22:24.528 [main] INFO  com.iiitb.calculator.CalcOperations - [SQUARE ROOT of -2.0][RESULT : NaN]
